individual ID,bodysize (mm),bodysize,treatment,experimental weight (mg),beetle volume,beetle dorsal surface,covered beetle dorsal surface ,beetle ventral surface, covered beetle ventral surface,sum of beetle surface,sum of covered surface,sum of beetle surface - sum of covered beetle surface,proportion of beetle surface area covered by mites,log surface covered,surfacevolumeratio
1,3.44,Small,ten,0,86.2,41.735,5.674,35.788,0.385,77.523,6.059,71.464,0.07815745,0.032682188,0.829048724
1,3.44,Small,twenty,0,86.2,39.609,8.519,34.927,2.19,74.536,10.709,63.827,0.143675539,0.058302832,0.740452436
1,3.44,Small,thirty,0,86.2,44.398,16.57,30.863,5.222,75.261,21.792,53.469,0.289552358,0.11043898,0.620290023
1,3.44,Small,weight,8.3,86.2,41.738,8.297,32.895,0,74.633,8.297,66.336,0.111170662,0.045780766,0.769559165
2,3.67,Small,ten,0,111.7,55.2,0,51.121,6.424,106.321,6.424,99.897,0.060420801,0.025478238,0.894333035
2,3.67,Small,twenty,0,111.7,49.464,1.95,47.166,11.35,96.63,13.3,83.33,0.137638415,0.056004249,0.746016115
2,3.67,Small,thirty,0,111.7,47.659,2.6,42.313,22.512,89.972,25.112,64.86,0.279109056,0.106907574,0.580662489
2,3.67,Small,weight,8,111.7,51.928,6.233,46.756,0,98.684,6.233,92.451,0.063161201,0.026599119,0.827672337
3,3.74,Small,ten,0,92.8,48.149,0,26.0909,3.19,74.2399,3.19,71.0499,0.042968808,0.01827132,0.765623922
3,3.74,Small,twenty,0,92.8,47.153,0,35.8842,6.7232,83.0372,6.7232,76.314,0.080966121,0.033812083,0.822349138
3,3.74,Small,thirty,0,92.8,42.498,15.005,24.101,6.5076,66.599,21.5126,45.0864,0.323016862,0.121565379,0.485844828
3,3.74,Small,weight,7.9,92.8,45.383,6.252,28.692,0,74.075,6.252,67.823,0.084400945,0.035189887,0.730851293
4,4.01,Small,ten,0,127.6,55.471,0,43.602,6.409,99.073,6.409,92.664,0.064689673,0.027223042,0.726206897
4,4.01,Small,twenty,0,127.6,55.724,4.379,48.166,10.174,103.89,14.553,89.337,0.140080855,0.056935653,0.700133229
4,4.01,Small,thirty,0,127.6,59.683,2.865,44.188,19.853,103.871,22.718,81.153,0.218713597,0.085901657,0.635995298
4,4.01,Small,weight,8.6,127.6,45.247,6.045,40.315,0,85.562,6.045,79.517,0.070650522,0.029647733,0.623173981
5,4.07,Small,ten,0,154.5,68.017,1.227,49.869,5.116,117.886,6.343,111.543,0.05380622,0.022760758,0.721961165
5,4.07,Small,twenty,0,154.5,65.25,2.023,46.75,8.756,112,10.779,101.221,0.096241071,0.039906069,0.655152104
5,4.07,Small,thirty,0,154.5,59.195,9.537,45.953,16.383,105.148,25.92,79.228,0.246509682,0.095695656,0.512802589
5,4.07,Small,weight,8.2,154.5,58.053,7.866,49.925,0,107.978,7.866,100.112,0.072848173,0.030538266,0.64797411
6,4.15,Small,ten,0,142.7,58.821,0,47.234,6.457,106.055,6.457,99.598,0.060883504,0.025667696,0.697953749
6,4.15,Small,twenty,0,142.7,62.755,1.335,49.338,10.647,112.093,11.982,100.111,0.106893383,0.044105791,0.701548704
6,4.15,Small,thirty,0,142.7,56.248,1.302,54.031,23.867,110.279,25.169,85.11,0.228230216,0.089279777,0.596426069
6,4.15,Small,weight,8,142.7,59.677,5.63,53.23,0,112.907,5.63,107.277,0.049864047,0.021133063,0.751765943
7,4.2,Small,ten,0,142.1,56.523,5.247,41.834,0.932,98.357,6.179,92.178,0.062822168,0.026460604,0.648684025
7,4.2,Small,twenty,0,142.1,59.303,9.865,41.588,0.772,100.891,10.637,90.254,0.105430613,0.043531487,0.635144265
7,4.2,Small,thirty,0,142.1,62.483,8.81,42.49,6.387,104.973,15.197,89.776,0.14477056,0.058718452,0.631780436
7,4.2,Small,weight,8.7,142.1,60.5568,10.399,44.793,0,105.3498,10.399,94.9508,0.098709252,0.040882782,0.668197044
8,4.38,Small,ten,0,175.1,69.92,1.815,59.624,5.477,129.544,7.292,122.252,0.056289755,0.023783068,0.698183895
8,4.38,Small,twenty,0,175.1,67.958,0.679,59.996,9.495,127.954,10.174,117.78,0.07951295,0.033227857,0.672644203
8,4.38,Small,thirty,0,175.1,72.288,5.209,60.227,17.884,132.515,23.093,109.422,0.174267064,0.06976688,0.624911479
8,4.38,Small,weight,8.1,175.1,71.723,8.644,63.415,0,135.138,8.644,126.494,0.063964244,0.026927033,0.722410051
9,4.4,Small,ten,0,142.2,58.115,0,47.917,1.941,106.032,1.941,104.091,0.018305794,0.007878215,0.732004219
9,4.4,Small,twenty,0,142.2,69.682,0.998,48.97,5.862,118.652,6.86,111.792,0.057816135,0.024410187,0.786160338
9,4.4,Small,thirty,0,142.2,64.559,0.611,46.773,14.418,111.332,15.029,96.303,0.134992635,0.054993043,0.677236287
9,4.4,Small,weight,7.9,142.2,62.012,7.168,47.329,0,109.341,7.168,102.173,0.065556379,0.027576433,0.718516174
10,4.41,Small,ten,0,134.4,65.614,0.788,54.501,6.482,120.115,7.27,112.845,0.06052533,0.025521046,0.839620536
10,4.41,Small,twenty,0,134.4,65.904,0,56.084,12.461,121.988,12.461,109.527,0.102149392,0.042240465,0.814933036
10,4.41,Small,thirty,0,134.4,65.694,1.257,55.983,20.269,121.677,21.526,100.151,0.176911002,0.070743623,0.745171131
10,4.41,Small,weight,7.7,134.4,62.394,7.927,57.387,0,119.781,7.927,111.854,0.06617911,0.027830169,0.832247024
19,5.09,Large,ten,0,220.9,94.167,3.97,60.52,5.23,154.687,9.2,145.487,0.05947494,0.025090689,0.658610231
19,5.09,Large,twenty,0,220.9,83.805,1.448,64.566,7.257,148.371,8.705,139.666,0.058670495,0.02476081,0.632258941
19,5.09,Large,thirty,0,220.9,92.636,0,66.131,14.225,158.767,14.225,144.542,0.089596705,0.037265781,0.654332277
