block,carcass mass,beetle size,body size (mm),mite treatment,broodsize
1,9.18,small,4.08,without mites,26
1,9.17,small,4.23,without mites,22
1,10.36,small,4.31,without mites,26
1,10.88,small,4.44,without mites,28
1,9.23,small,4.34,without mites,22
1,10.62,small,4.41,without mites,32
1,10.98,small,4,without mites,18
1,8.48,small,4.29,without mites,21
1,10.24,small,4.28,without mites,26
1,9.25,small,4.05,without mites,20
1,8.14,small,4.23,without mites,18
1,10.09,small,4.26,without mites,25
1,8.61,small,4.28,without mites,19
1,9.84,small,4.03,with mites,7
1,9.23,small,4.21,with mites,27
1,8.21,small,4.22,with mites,19
1,9.09,small,4.47,with mites,27
1,9.24,small,4.25,with mites,23
1,9.71,small,4.2,with mites,26
1,9.75,small,4.38,with mites,18
1,9.22,small,4.48,with mites,29
1,9.99,small,4.24,with mites,16
1,9.55,small,4.27,with mites,20
1,10.27,small,3.98,with mites,29
1,10.07,small,4.22,with mites,23
1,9.47,small,4.39,with mites,20
1,10.73,small,4.14,with mites,30
1,9.63,small,3.99,with mites,14
1,8.7,small,4.39,without mites,23
1,10.12,small,3.64,without mites,27
1,9.18,small,3.73,without mites,20
1,9.33,small,3.85,without mites,10
1,10.49,small,3.78,with mites,3
1,8.49,small,3.78,with mites,22
1,8.92,large,4.92,without mites,21
1,8.14,large,5.03,without mites,21
1,8.68,large,5.06,without mites,18
1,9.81,large,5.34,without mites,29
1,9.62,large,5,without mites,27
1,8.67,large,5.39,without mites,28
1,8.94,large,4.93,without mites,25
1,8.13,large,5.29,without mites,21
1,9.67,large,4.91,without mites,17
1,9.12,large,4.9,without mites,24
1,8.99,large,5.18,with mites,26
1,8.25,large,5,with mites,22
1,10.96,large,5.19,with mites,11
1,8.36,large,4.9,with mites,19
1,10.03,large,4.96,with mites,15
1,8.99,large,5.13,with mites,14
1,8,large,5.04,with mites,20
1,9.59,large,5.43,with mites,17
1,8.21,large,5.1,with mites,17
1,8.07,large,5.07,with mites,28
1,9.23,large,4.99,with mites,25
1,8.52,large,4.95,with mites,24
1,9.33,large,4.95,with mites,17
1,8.71,large,5.26,with mites,28
2,8.63,large,5.36,with mites,22
2,11.6,large,5.43,with mites,4
2,9.81,large,5.11,with mites,11
2,11.21,large,5.29,with mites,7
2,8.91,large,5.1,with mites,5
2,9.61,large,5.27,with mites,21
2,9.36,large,5.5,with mites,15
2,9.47,large,5.02,with mites,23
2,9.23,large,5.17,with mites,15
2,8.78,large,5.38,with mites,16
2,8.67,large,5.19,with mites,21
2,9.71,large,5.01,with mites,12
2,9.72,large,5.35,with mites,9
2,8.8,large,5.43,with mites,22
2,8.38,large,5.4,with mites,22
2,9.29,large,4.99,with mites,25
2,8.42,large,5.46,with mites,15
2,12.63,large,5.26,with mites,6
2,8.9,large,5.25,with mites,20
2,9.67,large,5.07,without mites,23
2,9.57,large,5.08,without mites,29
2,12.07,large,5.27,without mites,12
2,11.82,large,5.16,without mites,19
2,11.51,large,5.23,without mites,16
2,9.44,large,5.07,without mites,17
2,8.07,large,5.36,without mites,16
2,9.01,large,5.29,without mites,15
2,9.18,large,5.37,without mites,25
2,9.41,large,5.3,without mites,15
2,8.17,large,5.25,without mites,19
2,9.57,large,5.08,without mites,20
2,9.02,large,5.33,without mites,15
2,12.14,large,4.98,without mites,7
2,12.88,large,4.97,without mites,16
2,9.03,large,5.2,without mites,16
2,9.46,large,5.22,without mites,9
2,9.57,large,5.13,without mites,14
2,9.16,small,3.97,with mites,18
2,9.01,small,4.14,with mites,17
2,8.95,small,4.27,with mites,14
2,9.51,small,4.33,with mites,26
2,8.17,small,4.37,with mites,15
2,8.77,small,4.44,with mites,27
2,9.75,small,4.36,with mites,24
2,9.76,small,4.35,with mites,6
2,9.81,small,3.97,with mites,6
2,11.26,small,4.21,with mites,17
2,9.42,small,4.38,with mites,14
2,11.89,small,4.32,with mites,10
2,12.39,small,4.35,with mites,5
2,12.27,small,4.39,with mites,16
2,9.51,small,4.38,with mites,21
2,11.17,small,4.22,with mites,20
2,8.95,small,4.21,with mites,13
2,8.56,small,4.37,without mites,20
2,9.38,small,4.36,without mites,22
2,9.36,small,4.09,without mites,23
2,8.23,small,4.12,without mites,8
2,8.11,small,3.92,without mites,11
2,9.39,small,3.77,without mites,22
2,9.45,small,4.1,without mites,13
2,10.24,small,4.23,without mites,18
2,9.43,small,4.2,without mites,12
2,9.82,small,4.17,without mites,4
2,9.04,small,4.18,without mites,3
2,8.68,small,4.34,without mites,2
2,9.18,small,4.12,without mites,9
2,9.64,small,4.03,without mites,10
2,8.22,small,4.28,without mites,19
2,10.01,small,4.32,without mites,17
