ID,aggressive act,carcass mass,block,mite treatment,focal body size,before or after the fight,behaviour,nonfocal body size,relative difference in body size,difference in beetle temperature,difference in beetle temperature before fight
11,1,11.54,1,with mites,5.02,before,attack,5,0.004,0.5,0.5
11,3,11.54,1,with mites,5.02,before,attack,5,0.004,0.7,0.7
11,4,11.54,1,with mites,5.02,before,attack,5,0.004,0.6,0.6
11,5,11.54,1,with mites,5.02,before,attack,5,0.004,0.4,0.4
11,6,11.54,1,with mites,5.02,before,attack,5,0.004,0.3,0.3
11,7,11.54,1,with mites,5,before,attack,5.02,-0.003984064,0.4,0.4
11,8,11.54,1,with mites,5.02,before,attack,5,0.004,0.7,0.7
11,9,11.54,1,with mites,5.02,before,wrestle,5,0.004,0.4,0.4
11,10,11.54,1,with mites,5.02,before,wrestle,5,0.004,0.4,0.4
12,11,10.6,1,with mites,4.98,before,attack,4.99,-0.002004008,0.2,0.2
13,12,10.43,1,with mites,4.83,before,attack,4.84,-0.002066116,0.6,0.6
13,13,10.43,1,with mites,4.84,before,attack,4.83,0.002070393,0.1,0.1
13,14,10.43,1,with mites,4.83,before,attack,4.84,-0.002066116,0.1,0.1
14,15,10.17,1,with mites,4.57,before,attack,4.57,0,0,0
15,17,11.21,1,with mites,5.08,before,wrestle,5.09,-0.001964637,0.5,0.5
15,18,11.21,1,with mites,5.09,before,wrestle,5.08,0.001968504,0.5,0.5
15,19,11.21,1,with mites,5.09,before,attack,5.08,0.001968504,0.1,0.1
15,20,11.21,1,with mites,5.08,before,attack,5.09,-0.001964637,0.4,0.4
15,22,11.21,1,with mites,5.08,before,attack,5.09,-0.001964637,0.5,0.5
17,24,11.61,1,with mites,5.08,before,attack,5.09,-0.001964637,1.3,1.3
18,26,10.9,1,with mites,5.41,before,attack,5.42,-0.001845018,0.3,0.3
18,27,10.9,1,with mites,5.42,before,attack,5.41,0.001848429,0.2,0.2
18,28,10.9,1,with mites,5.41,before,attack,5.42,-0.001845018,0.1,0.1
18,29,10.9,1,with mites,5.41,before,attack,5.42,-0.001845018,0.5,0.5
18,30,10.9,1,with mites,5.41,before,attack,5.42,-0.001845018,0.3,0.3
18,31,10.9,1,with mites,5.41,before,attack,5.42,-0.001845018,0.4,0.4
19,32,10.49,1,with mites,5.01,before,attack,5.04,-0.005952381,0.7,0.7
19,35,10.49,1,with mites,5.01,before,wrestle,5.04,-0.005952381,1,1
19,36,10.49,1,with mites,5.04,before,attack,5.01,0.005988024,0.1,0.1
19,37,10.49,1,with mites,5.04,before,attack,5.01,0.005988024,0.2,0.2
19,38,10.49,1,with mites,5.04,before,attack,5.01,0.005988024,0.1,0.1
